name,address,pincode,chancellor
New York University,New York,100025,Travis
Harvard University,Boston,200078,George
Stanford University,Stanford,300047,Stephen
Yale University,New Haven,400088,Derek
Columbia University,New York,10027,Bollingor
Duke University,Durham,27708,Eugene
Rice University,Houston,77251,David
Cambridge University,Cambridge,155684,Joy
Caltech,Los Angeles,511254,James
Georgia Tech,Atlanta,660011,Kiefer
George Mason University,Fairfax,850221,Adan
University of Illinois Chicago,Chicago,900021,Italia
Auburn University,Auburn,644501,Maggie
University of Arkansas,Fayetville,320115,Natascha
University of Delaware,Newark,980075,Zoe
Virginia Tech,Blacksburg,154022,Paulo
University of Arizona,Tucson,231500,Jake
University of South California,Los Angeles,852401,Tanner
University of Alabama,Tuscaloosa,745621,Ben
