name,address,pincode,warden
Alumni Hall,"254,40th st",123456,Josh
Brittany Hall,"555,73rd st",789123,Pat
Founders Hall,"920,30th st",456789,Joe
Palladium Hall,"645,10th st",456123,Tom
Greenwich Hall,"200,7th st",789456,Liv
Rubin Hall,"784,98th st",159753,Kelly
Julian Hall,"210,8th st",544522,Andrew
Nicholas Hall,"220,9th st",600122,Lana
Thomas Hall,"230,10th st",877400,Daniel
Jeremy Hall,"240,11th st",984100,Jeremaih
Alison Hall,"250,12th st",254036,Vincent
Curie Hall,"260,13 st",301455,Gabriel
Juris Hall,"270,14th st",970025,Sarah
Justin Hall,"280,15th st",840156,Eric
Patrick Hall,"290,16th st",450028,Meghan
Aaron Hall,"300,17th st",980271,Mary
Alexandra Hall,"310,18th st",665400,Gina
Zachary Hall,"320,19th st",320780,Rick
Charles Hall,"330,20th st",874452,David
